timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
2465967956,2,-1,0,23,0,0,1,0,0,0,0,0,0,0
2495414763,2,-1,0,23,0,0,1,0,0,0,0,0,0,0
2495602413,2,0,1,23,0,0,1,0,0,0,0,0,0,0
2495684985,2,1,2,23,0,0,1,0,0,0,0,0,0,0
2495766301,2,2,3,23,0,0,1,0,0,0,0,0,0,0
2533468400,2,3,4,23,0,0,1,0,0,0,0,0,0,0
2533484781,2,4,5,23,0,0,1,0,0,0,0,0,0,0
2589192384,2,5,6,23,0,0,1,0,0,0,0,0,0,0
2600846321,2,6,7,23,0,0,1,0,0,0,0,0,0,0
2626050761,2,7,8,23,0,0,1,0,0,0,0,0,0,0
2658645353,2,8,9,23,0,0,1,0,0,0,0,0,0,0
2683653715,2,9,10,23,0,0,1,0,0,0,0,0,0,0
2723044744,2,10,11,23,0,0,1,0,0,0,0,0,0,0
2755437303,2,11,12,23,0,0,1,0,0,0,0,0,0,0
2770820122,2,12,19,23,13,1,1,0,0,0,0,0,1,0
2842596926,2,19,20,23,0,0,1,0,0,0,0,0,0,0
2842677626,2,20,21,23,0,0,1,0,0,0,0,0,0,0
2866366752,2,21,22,23,0,0,1,0,0,0,0,0,0,0
2915404608,2,22,22,23,0,0,1,0,1,0,0,0,0,0
2919505597,3,-1,0,23,0,0,1,0,0,0,0,0,0,0
